dist_err,waypoint_idx
0.0498711,1
0.056608,2
0.038222,4
0.0368886,5
0.04962,6
0.0289938,8
0.0346908,9
0.0476493,10
0.0645351,11
0.0769952,12
0.0897859,13
0.095624,14
0.0950433,15
0.100158,15
0.0863722,16
0.07579,17
0.0773469,17
0.0651454,18
0.0643737,19
0.0601047,20
0.0612407,20
0.0583147,21
0.0561567,22
0.0529449,23
0.0501777,24
0.0455344,25
0.0454555,26
0.0505568,27
0.0565283,28
0.058776,29
0.0719961,29
0.0714658,30
0.0628963,31
0.0573826,32
0.0510715,33
0.0535183,34
0.038635,36
0.0403565,37
0.0488893,38
0.0536104,39
0.0533147,40
0.0583276,41
0.0596892,42
0.0470928,44
0.0492877,45
0.0537098,46
0.0497115,47
0.0523899,48
0.0672739,49
0.0988131,49
0.131967,49
0.160454,49
0.181946,49
0.18721,49
0.166571,51
0.150652,52
0.129918,52
0.108052,52
0.0853176,52
0.0701046,52
0.070343,52
0.0332615,53
0.0485069,53
0.021693,54
0.0409014,54
0.0331439,55
0.0471938,55
0.0471384,56
0.0585713,56
0.0520471,57
0.0534164,57
0.0650692,57
0.0434381,58
0.0549252,58
0.029289,59
0.0336215,59
0.0505739,59
0.026663,60
0.0511273,60
0.043295,61
0.0548679,61
0.0562184,62
0.0801738,62
0.065034,63
0.0879594,63
0.0776099,64
0.0815328,65
0.0937734,65
0.0912323,66
0.0773205,67
0.0815532,67
0.0672341,68
0.0510024,69
0.0690295,69
0.0462197,70
0.0305862,71
0.0692884,71
0.104759,71
0.160292,71
0.0708381,75
0.0590941,75
0.0672085,75
0.103236,75
0.0895203,76
0.0828298,77
0.0811785,78
0.0987638,78
0.0886374,79
0.0974459,79
0.0847287,80
0.0977971,80
0.06689,81
0.087947,81
0.0710212,82
0.0597225,83
0.0655153,83
0.0575977,84
0.0815319,84
0.0746978,85
0.0944453,85
0.0884231,86
0.104995,86
0.0945449,87
0.102193,87
0.0991921,88
0.107094,88
0.117785,88
0.105723,89
0.106112,89
0.120017,89
0.107653,90
0.0982086,90
0.114194,90
0.0921451,91
0.0978692,91
0.0976959,91
0.0766432,92
0.0876775,92
0.103806,92
0.0925941,93
0.0930076,93
0.100966,93
0.0793735,94
0.0780838,94
0.0837371,94
0.063369,95
0.0664612,95
0.0696685,95
0.0407342,96
0.0464075,96
0.0247787,97
0.024032,97
0.0401844,97
0.0181326,98
0.0360122,98
0.0746243,98
0.0781029,99
0.112804,99
0.0698383,101
0.0436415,101
0.0314245,101
0.0260282,101
0.0301043,101
0.0381758,101
0.0175765,102
0.0196988,102
0.0381738,102
0.0216818,103
0.0262425,103
0.0459017,103
0.0297513,104
0.0369694,104
0.0592024,104
0.0409462,105
0.0531389,105
0.038157,106
0.0365616,106
0.0523044,106
0.0334682,107
0.0424531,107
0.0696152,107
0.0447605,108
0.0673942,108
0.046112,109
0.0695336,109
0.0480243,110
0.0703304,110
0.0613242,111
0.0695892,111
0.0477819,112
0.0554401,112
0.0308165,113
0.0394066,113
0.0104628,114
0.0383089,114
0.00960248,115
0.0412872,115
0.070756,115
0.0537065,116
0.085949,116
0.0686146,117
0.0909058,117
0.0793995,118
0.0903,118
0.0751474,119
0.0758835,119
0.0705179,119
0.0534608,120
0.0376672,120
0.0532735,120
0.013947,121
0.042191,121
0.0139745,122
0.0315123,122
0.0536533,122
0.0236897,123
0.0568018,123
0.025475,124
0.0482387,124
0.0286564,125
0.0526772,125
0.0383542,126
0.0582573,126
0.0450695,127
0.0598153,127
0.0850875,127
0.0589984,128
0.0699112,128
0.0547668,129
0.0619712,129
0.0788378,129
0.059182,130
0.0693334,130
0.0790403,130
0.0621173,131
