xte,waypoint_idx
0.0392597,1
0.0346307,2
0.0308055,4
0.0202669,5
0.0202197,6
0.0232511,8
0.0291422,9
0.0410212,10
0.0592175,11
0.0711047,12
0.0867551,13
0.0943786,14
0.0945267,15
0.0942814,15
0.0835459,16
0.0749225,17
0.0687637,17
0.0604672,18
0.0617249,19
0.0594535,20
0.0544224,20
0.0508909,21
0.0519815,22
0.0507251,23
0.0456183,24
0.0420793,25
0.0435283,26
0.0462208,27
0.0550266,28
0.0576118,29
0.0613699,29
0.0619538,30
0.054437,31
0.0459423,32
0.0377682,33
0.03585,34
0.0351212,36
0.0380629,37
0.0446147,38
0.0481024,39
0.0481223,40
0.0471114,41
0.0441597,42
0.0429285,44
0.0397263,45
0.0373135,46
0.0344166,47
0.0355269,48
0.0672739,49
0.0988131,49
0.131967,49
0.160454,49
0.175737,49
0.165017,49
0.152959,51
0.150422,52
0.129433,52
0.107935,52
0.0846292,52
0.0635762,52
0.0488165,52
0.0314537,53
0.0201029,53
0.0176557,54
0.0205574,54
0.0329674,55
0.0363202,55
0.0471384,56
0.0495212,56
0.0520471,57
0.0487513,57
0.0452401,57
0.0428692,58
0.0387522,58
0.0292769,59
0.0230665,59
0.0216279,59
0.0222084,60
0.0295513,60
0.0410752,61
0.0412061,61
0.0526651,62
0.0625051,62
0.0586161,63
0.0640364,63
0.0663844,64
0.077438,65
0.0788701,65
0.0828952,66
0.0748807,67
0.0645724,67
0.0538495,68
0.0455023,69
0.0358361,69
0.0212524,70
0.0212468,71
0.0261501,71
0.0311625,71
0.0351481,71
0.0444071,75
0.0581144,75
0.0615292,75
0.0634418,75
0.0653897,76
0.0737866,77
0.0797401,78
0.0841583,78
0.0858157,79
0.08141,79
0.0794883,80
0.0721675,80
0.0605856,81
0.0586319,81
0.0611546,82
0.0597225,83
0.0565657,83
0.0575977,84
0.0702401,84
0.0735654,85
0.0788434,85
0.0872964,86
0.0950471,86
0.0944657,87
0.0963976,87
0.0991921,88
0.104873,88
0.109348,88
0.105682,89
0.102349,89
0.10944,89
0.107647,90
0.0950304,90
0.105012,90
0.0921451,91
0.0953512,91
0.0855572,91
0.0765943,92
0.083422,92
0.0902868,92
0.0925941,93
0.0896043,93
0.0867543,93
0.0792933,94
0.0735136,94
0.0678478,94
0.0632414,95
0.0605811,95
0.0510889,95
0.0386446,96
0.0316034,96
0.0243189,97
0.0194608,97
0.0179994,97
0.0180124,98
0.0303869,98
0.0524347,98
0.0781029,99
0.101291,99
0.0673303,101
0.042914,101
0.0301369,101
0.0227321,101
0.0187006,101
0.0211967,101
0.0146476,102
0.0165944,102
0.0171626,102
0.019285,103
0.0233694,103
0.0249553,103
0.0270456,104
0.0319541,104
0.0379171,104
0.0394929,105
0.0371076,105
0.033286,106
0.0326521,106
0.0328633,106
0.0333703,107
0.019105,107
0.0207422,107
0.0164184,108
0.044064,108
0.0169936,109
0.027139,109
0.0223138,110
0.0535361,110
0.0322344,111
0.0304113,111
0.0322341,112
0.0346455,112
0.0296004,113
0.014584,113
0.00852454,114
0.00313309,114
0.00959567,115
0.0248639,115
0.0277781,115
0.0467226,116
0.056775,116
0.0654865,117
0.0752354,117
0.0786276,118
0.0795258,118
0.0751474,119
0.0734574,119
0.0601195,119
0.0528132,120
0.0349283,120
0.0253243,120
0.0119035,121
0.00987321,121
0.0126871,122
0.0125427,122
0.0118257,122
0.0133334,123
0.0212836,123
0.0240241,124
0.0240241,124
0.0278185,125
0.0331639,125
0.0379638,126
0.044394,126
0.0450232,127
0.0499145,127
0.0528143,127
0.0563078,128
0.0540025,128
0.0547668,129
0.0563031,129
0.0585953,129
0.0587783,130
0.0607699,130
0.0546299,130
0.061202,131
0.0582145,131
0.0529826,132
0.0516162,132
0.0525949,132
0.0573532,133
0.0537309,133
0.0533729,134
0.0531254,134
0.0528001,134
0.0520031,135
0.0446241,135
0.047787,136
0.0459354,136
0.0445895,136
0.05311,137
0.0456847,137
0.0487219,137
0.0548114,138
0.0617178,138
0.0592144,139
0.0601806,139
0.0606802,140
0.061333,140
0.0653746,140
0.0706437,141
0.0735789,141
0.0710179,141
0.0633272,142
0.0626018,142
0.0576795,143
0.0611097,143
0.053475,144
0.0543871,144
0.0550339,144
0.0566233,145
0.058232,145
0.0508276,146
0.0501404,146
0.0470901,146
0.0498087,147
0.0503141,147
0.0456024,150
0.0578067,150
0.0512672,150
0.0520991,150
0.0675015,150
0.0793444,150
0.0445173,150
0.0513162,151
0.0433032,151
0.0446872,151
0.0392359,151
0.0342505,151
0.0297185,152
0.025898,152
0.0236837,152
0.0276202,152
0.0252521,152
0.0269993,153
0.020981,153
0.0270965,153
0.0251693,153
0.0222291,153
0.0222511,154
0.0202415,154
0.0266084,154
0.0309493,154
0.0326851,154
0.0378162,155
0.0400204,155
0.0473588,155
0.0555663,155
0.0611372,155
0.0582352,156
0.0668383,156
0.0775531,156
0.0902856,156
0.0923308,156
0.0918708,157
0.0834495,157
0.0767376,157
0.0710275,157
0.0673972,157
0.0604085,157
0.045011,158
0.0394321,158
0.0328215,158
0.0336339,158
0.0322404,158
0.029061,158
0.0228904,159
0.0153374,159
0.0110329,159
0.0104878,159
0.0109016,160
0.0168582,160
0.0152861,160
0.0187561,160
0.0184017,161
0.0192312,161
0.0224472,161
0.0160951,162
0.0119165,162
0.0131796,162
0.0165092,162
0.0232515,163
0.0338281,163
0.0459505,163
0.0575066,163
0.0610802,164
0.0690195,164
0.0735487,164
0.075829,164
0.0719318,165
0.0657101,165
0.0663056,165
0.0653733,165
0.0601055,165
0.0592038,166
0.0441751,166
0.0441001,166
0.0377333,166
0.0354036,166
0.0339533,167
0.0371059,167
0.0370534,167
0.0429245,167
0.0438574,167
0.0433913,168
0.0399185,168
0.0434601,168
0.0402278,168
0.0352632,168
0.0283336,168
0.0283307,169
0.031657,169
0.03177,169
0.0300009,169
0.0283469,170
0.0242436,170
0.025442,170
0.0321521,170
0.0292421,171
0.0245814,171
0.0202364,171
0.0197755,171
0.0168435,171
0.0163437,172
0.0172773,172
0.0172171,172
