x,y,z
-2.65746,-3.80263,-2.65746
-2.65746,-3.80263,-2.65746
-2.65746,-3.80263,-2.65746
-2.65746,-3.79151,-2.65746
-2.65746,-3.80263,-2.65746
-2.65746,-3.79151,-2.65746
-2.66501,-3.80263,-2.66501
-2.66501,-3.80263,-2.66501
-2.67256,-3.80263,-2.67256
-2.67256,-3.80263,-2.67256
-2.67256,-3.80263,-2.67256
-2.67256,-3.80263,-2.67256
-2.68011,-3.80263,-2.68011
-2.68011,-3.80263,-2.68011
-2.68766,-3.80263,-2.68766
-2.69521,-3.80263,-2.69521
-2.69521,-3.80263,-2.69521
-2.69521,-3.80263,-2.69521
-2.69521,-3.80263,-2.69521
-2.70276,-3.79151,-2.70276
-2.70276,-3.79151,-2.70276
-2.71031,-3.78039,-2.71031
-2.71031,-3.78039,-2.71031
-2.71031,-3.76927,-2.71031
-2.71031,-3.76927,-2.71031
-2.70276,-3.76927,-2.70276
-2.71031,-3.75815,-2.71031
-2.70276,-3.75815,-2.70276
-2.70276,-3.75815,-2.70276
-2.70276,-3.74704,-2.70276
-2.69521,-3.74704,-2.69521
-2.68766,-3.73592,-2.68766
-2.68766,-3.73592,-2.68766
-2.68011,-3.73592,-2.68011
-2.68011,-3.73592,-2.68011
-2.67256,-3.73592,-2.67256
-2.67256,-3.73592,-2.67256
-2.66501,-3.73592,-2.66501
-2.66501,-3.73592,-2.66501
-2.66501,-3.74704,-2.66501
-2.65746,-3.74704,-2.65746
-2.65746,-3.74704,-2.65746
-2.64991,-3.74704,-2.64991
-2.64236,-3.73592,-2.64236
-2.64236,-3.73592,-2.64236
-2.63481,-3.73592,-2.63481
-2.62726,-3.73592,-2.62726
-2.61971,-3.73592,-2.61971
-2.61217,-3.73592,-2.61217
-2.61217,-3.73592,-2.61217
-2.60462,-3.7248,-2.60462
-2.59707,-3.7248,-2.59707
-2.59707,-3.7248,-2.59707
-2.58952,-3.7248,-2.58952
-2.58197,-3.7248,-2.58197
-2.57442,-3.7248,-2.57442
-2.56687,-3.71368,-2.56687
-2.56687,-3.71368,-2.56687
-2.55932,-3.70256,-2.55932
-2.55932,-3.70256,-2.55932
-2.55177,-3.69144,-2.55177
-2.55177,-3.69144,-2.55177
-2.54422,-3.68032,-2.54422
-2.54422,-3.6692,-2.54422
-2.53667,-3.65808,-2.53667
-2.53667,-3.65808,-2.53667
-2.53667,-3.64697,-2.53667
-2.53667,-3.64697,-2.53667
-2.53667,-3.63585,-2.53667
-2.52912,-3.62473,-2.52912
-2.52912,-3.62473,-2.52912
-2.52912,-3.62473,-2.52912
-2.52912,-3.62473,-2.52912
-2.52157,-3.62473,-2.52157
-2.52157,-3.62473,-2.52157
-2.52157,-3.63585,-2.52157
-2.51402,-3.63585,-2.51402
-2.51402,-3.63585,-2.51402
