xte,waypoint_idx
0.0538138,1
0.0393653,1
0.0408762,2
0.0365068,3
0.0382275,4
0.0428941,5
0.0581348,6
0.0658277,8
0.0732567,8
0.0840195,9
0.0869893,10
0.0954456,11
0.0866274,12
0.0881875,13
0.0802888,13
0.0891674,14
0.0817878,15
0.0827413,16
0.0787283,17
0.084274,17
0.0788827,18
0.0778466,19
0.0773211,20
0.0748889,20
0.0732474,21
0.0644629,22
0.065748,23
0.0674907,24
0.06696,24
0.064896,25
0.0599181,26
0.0582814,27
0.0509776,28
0.055827,29
0.050832,29
0.0415634,30
0.0381939,31
0.0257108,32
0.0134337,33
0.014245,34
0.0185225,34
0.0307842,36
0.0403848,37
0.0347957,38
0.0345181,39
0.0295797,41
0.0274016,42
0.024511,43
0.0189573,44
0.0210614,46
0.0340623,47
0.058546,48
0.0976534,49
0.140808,49
0.177931,49
0.184601,49
0.171935,51
0.157777,52
0.132939,51
0.10222,51
0.065606,51
0.0330861,51
0.00823332,51
0.00798094,51
0.0199939,52
0.0223195,52
0.0159577,52
0.0128637,52
0.00687473,53
0.00241929,53
0.00325601,53
0.00714167,53
0.0105639,53
0.0184187,54
0.0219615,54
0.0286552,54
0.0279595,55
0.0313422,55
0.0327565,56
0.0349085,56
0.0454627,56
0.0388183,57
0.0515083,57
0.0452541,58
0.0557202,58
0.0483154,59
0.0556062,59
0.0532068,60
0.0589703,60
0.0530887,61
0.0572405,61
0.0482325,62
0.0465035,62
0.0419308,62
0.045653,62
0.0372948,62
0.0280005,66
0.0264379,66
0.0252086,66
0.0213299,66
0.0364377,67
0.0428618,67
0.050295,68
0.0461062,69
0.0561568,69
0.0497826,70
0.0493672,71
0.0430524,72
0.0414567,72
0.0348095,73
0.0328312,74
0.0283731,74
0.0282193,75
0.0236959,76
0.0230141,77
0.0326193,77
0.0418994,78
0.0530061,79
0.0602649,79
0.0654442,80
0.0595287,80
0.0669232,81
0.0685862,82
0.0591463,82
0.0667824,83
0.0624824,83
0.0626317,84
0.054097,85
0.058673,85
0.0561129,86
0.0658796,86
0.0803932,87
0.0825736,88
0.088948,88
0.0848489,88
0.0913627,89
0.0888672,89
0.0859829,90
0.0856721,90
0.0763922,90
0.06453,91
0.068269,91
0.0587001,91
0.05448,92
0.0481964,92
0.0500901,92
0.0453823,93
0.0427844,93
0.0353375,94
0.0392496,94
0.0423541,94
0.0454777,95
0.0390458,95
0.0411659,96
0.0397279,96
0.0365359,96
0.0337073,97
0.0300297,97
0.019613,97
0.00936248,98
0.012438,98
0.0296307,99
0.0627531,99
0.0882199,99
0.121274,99
0.147796,99
0.142535,99
0.127581,100
0.123103,100
0.10916,100
0.0896253,100
0.0766181,100
0.0615222,100
0.0550303,100
0.0494593,100
0.0398065,100
0.0303532,101
0.0221575,101
0.0165686,101
0.0122393,102
0.0135228,102
0.0178087,103
0.0214451,103
0.0197762,103
0.0194764,104
0.0147871,104
0.00522159,105
0.015235,105
0.00614414,106
0.00832358,106
0.0213009,107
0.0230597,108
0.0285034,108
0.0355408,109
0.0368345,109
0.039052,110
0.0439658,110
0.0481051,110
0.0436712,111
0.0498576,111
0.0513104,112
0.0445174,112
0.0473407,113
0.0422166,113
0.0502361,114
0.0506243,114
0.0548232,114
0.0533594,115
0.0536876,115
0.0465329,116
0.051111,116
0.0545388,116
0.0556022,117
0.0540046,117
0.0621044,118
0.0602278,118
0.057025,119
0.059932,119
0.0573804,120
0.0581161,120
0.0545807,121
0.0562961,121
0.0519678,122
0.0543644,122
0.0545521,122
0.0600815,123
0.0610463,123
0.0627567,124
0.0586147,124
0.0634371,125
0.056278,125
0.0642914,126
0.0640502,126
0.0729442,127
0.069749,127
0.0776325,128
0.0760979,128
0.0755901,129
0.0720709,129
0.0758952,129
0.0690129,129
0.0690652,129
0.0645805,132
0.0649216,132
0.0667543,132
0.0691441,132
0.0628882,133
0.0600194,133
0.0549408,134
0.0484442,134
0.0470561,134
0.0440773,135
0.0441886,135
0.0390425,136
0.0345717,137
0.0349887,137
0.0273898,137
0.0341543,138
0.0417851,138
0.0408173,139
0.0428741,139
0.0448821,140
0.0449542,140
0.0530649,141
0.0565954,141
0.0603942,141
0.0575765,142
0.0625996,142
0.0630254,143
0.0723513,143
0.0699295,143
0.0675573,144
0.0677102,144
0.0626068,144
0.0575696,145
0.0572626,145
