dist_err,waypoint_idx
0.0533487,2
0.0421988,2
0.0440712,1
0.0518807,1
0.0512507,2
0.0628061,2
0.0689323,3
0.0756178,4
0.0778861,5
0.0903766,6
0.0943007,7
0.104217,8
0.120451,8
0.110353,9
0.113169,10
0.0981169,11
0.103379,11
0.0944007,12
0.0765821,13
0.0726565,14
0.0671261,15
0.0597401,16
0.0538898,17
0.0559602,18
0.0367721,20
0.0516844,20
0.0386187,22
0.0420686,23
0.0463409,24
0.0610011,25
0.0553457,27
0.0558395,29
0.0729072,30
0.0963379,31
0.111199,32
0.117432,33
0.11725,34
0.131776,35
0.128545,36
0.129762,37
0.131594,37
0.135654,38
0.123717,39
0.120214,40
0.111157,41
0.111436,41
0.0962921,42
0.0973655,43
0.0949519,44
0.0846823,45
0.0882092,45
0.0853486,46
0.0799862,47
0.0864886,48
0.0963337,49
0.139575,49
0.177567,49
0.14667,51
0.124504,53
0.0997441,52
0.0749832,52
0.0572483,52
0.0412741,52
0.0152128,53
0.0271727,53
0.0604593,53
0.0593275,54
0.0808954,54
0.0823994,55
0.103,55
0.0999155,56
0.0968353,57
0.106492,57
0.104183,58
0.107697,58
0.132011,58
0.14506,58
0.175725,58
0.0903418,62
0.0791877,62
0.0850387,62
0.0833878,63
0.0894614,63
0.0787922,64
0.102162,64
0.100425,65
0.0921343,66
0.0865641,67
0.100858,67
0.0904334,68
0.0843925,69
0.10664,69
0.0986457,70
0.0893538,71
0.0968867,71
0.0798304,72
0.0921383,72
0.0696082,73
0.0531011,74
0.0617637,74
0.0436585,75
0.0707552,75
0.0504727,76
0.0450832,77
0.0344832,78
0.0600571,78
0.0497384,79
0.089687,79
0.0809109,80
0.0660104,81
0.0588214,82
0.0773584,82
0.0707322,83
0.0614051,84
0.0793603,84
0.0709858,85
0.0718032,86
0.087479,86
0.0823789,87
0.0806199,88
0.0928976,88
0.0835013,89
0.0822956,90
0.0934376,90
0.0826876,91
0.0931937,91
0.0809854,92
0.0970109,92
0.0770372,93
0.0944205,93
0.0750548,94
0.0609716,95
0.087888,95
0.0677529,96
0.0536023,97
0.0826746,97
0.0755629,98
0.0632101,99
0.0951515,99
0.139236,99
0.0979945,101
0.0574783,102
0.0383729,102
0.0397403,102
0.0691407,102
0.0411321,103
0.0688474,103
0.0548994,104
0.0710638,104
0.0588162,105
0.0753803,105
0.0643352,106
0.0531028,107
0.0696479,107
0.0577802,108
0.0720448,108
0.0619801,109
0.0507422,110
0.0677432,110
0.0483933,111
0.0668458,111
0.0487617,112
0.0818228,112
0.0584162,113
0.0502525,114
0.0720365,114
0.0584207,115
0.086539,115
0.0781029,116
0.076184,117
0.0933116,117
0.0792615,118
0.0969186,118
0.0795959,119
0.0645384,120
0.0711441,120
0.0932999,120
0.123546,120
0.152553,120
0.0868254,124
0.0675733,124
0.0574193,124
0.0658719,124
0.0575763,125
0.0633389,125
0.0584801,126
0.067931,126
0.0541276,127
0.0559499,127
0.0799076,127
0.0516215,128
0.0666093,128
0.0367485,129
0.0621739,129
0.0370944,130
0.0152567,131
0.0530384,131
0.0303111,132
0.0155816,133
0.0530779,133
0.0339426,134
0.0233083,135
0.0594896,135
0.0377136,136
0.0329637,137
0.0750118,137
0.0622898,138
0.0559367,139
0.0542833,140
0.0786245,140
0.0674898,141
0.0956955,141
0.0944595,142
0.0819759,143
0.0999823,143
0.0864129,144
0.108044,144
0.0883317,145
0.0773723,146
0.0937852,146
0.0772671,147
0.097856,147
0.0797826,148
0.0621652,149
0.0832316,149
0.112344,149
0.145762,149
0.105629,151
0.0705965,152
0.0506468,152
0.0327917,152
0.0280579,152
0.0425006,152
0.0626766,152
0.0380195,153
0.0567381,153
0.0415023,154
0.0661412,154
0.0460415,155
0.0662179,155
0.0477752,156
0.0604974,156
0.057992,157
0.0725996,157
0.0658017,158
0.0709993,158
0.0961149,158
0.0724953,159
0.0872951,159
0.067839,160
0.0838213,160
0.0714914,161
0.0587645,162
0.0740798,162
0.0635063,163
0.0808803,163
0.0691037,164
0.0958711,164
0.0816454,165
0.111887,165
0.0999002,166
0.0967818,167
0.107398,167
0.10646,168
0.116,168
0.108968,169
0.116695,169
0.111725,170
0.126951,170
0.115074,171
0.124674,171
0.109486,172
0.117474,172
0.102125,173
0.104397,173
