x,y,z
-2.69521,-3.73592,-2.69521
-2.69521,-3.73592,-2.69521
-2.69521,-3.73592,-2.69521
-2.69521,-3.73592,-2.69521
-2.68766,-3.73592,-2.68766
-2.68766,-3.73592,-2.68766
-2.69521,-3.73592,-2.69521
-2.68766,-3.7248,-2.68766
-2.68766,-3.7248,-2.68766
-2.68766,-3.7248,-2.68766
-2.68011,-3.7248,-2.68011
-2.67256,-3.71368,-2.67256
-2.67256,-3.71368,-2.67256
-2.66501,-3.71368,-2.66501
-2.65746,-3.71368,-2.65746
-2.64236,-3.71368,-2.64236
-2.63481,-3.71368,-2.63481
-2.62726,-3.71368,-2.62726
-2.62726,-3.71368,-2.62726
-2.61217,-3.71368,-2.61217
-2.60462,-3.71368,-2.60462
-2.59707,-3.71368,-2.59707
-2.59707,-3.71368,-2.59707
-2.58952,-3.71368,-2.58952
-2.58197,-3.71368,-2.58197
-2.57442,-3.71368,-2.57442
-2.55932,-3.71368,-2.55932
-2.55177,-3.71368,-2.55177
-2.53667,-3.71368,-2.53667
-2.52157,-3.71368,-2.52157
-2.50647,-3.71368,-2.50647
-2.49137,-3.71368,-2.49137
-2.48382,-3.7248,-2.48382
-2.47627,-3.7248,-2.47627
-2.47627,-3.7248,-2.47627
-2.46872,-3.7248,-2.46872
-2.46117,-3.7248,-2.46117
-2.46117,-3.73592,-2.46117
-2.45362,-3.73592,-2.45362
-2.44607,-3.74703,-2.44607
-2.43852,-3.75815,-2.43852
-2.43852,-3.75815,-2.43852
-2.43852,-3.75815,-2.43852
-2.43852,-3.75815,-2.43852
-2.43097,-3.76927,-2.43097
-2.43097,-3.76927,-2.43097
-2.43097,-3.76927,-2.43097
-2.43097,-3.76927,-2.43097
-2.42342,-3.76927,-2.42342
-2.42342,-3.76927,-2.42342
-2.42342,-3.78039,-2.42342
-2.42342,-3.78039,-2.42342
-2.42342,-3.78039,-2.42342
-2.42342,-3.78039,-2.42342
-2.42342,-3.78039,-2.42342
-2.43097,-3.78039,-2.43097
-2.43097,-3.78039,-2.43097
-2.43097,-3.78039,-2.43097
-2.43097,-3.79151,-2.43097
-2.43097,-3.79151,-2.43097
-2.43852,-3.79151,-2.43852
-2.43852,-3.79151,-2.43852
-2.43852,-3.79151,-2.43852
-2.44607,-3.79151,-2.44607
-2.43852,-3.79151,-2.43852
-2.43852,-3.79151,-2.43852
-2.44607,-3.78039,-2.44607
-2.45362,-3.78039,-2.45362
-2.46117,-3.78039,-2.46117
-2.46872,-3.76927,-2.46872
-2.48382,-3.75815,-2.48382
-2.49892,-3.74703,-2.49892
-2.50647,-3.73592,-2.50647
-2.52157,-3.71368,-2.52157
-2.52912,-3.71368,-2.52912
-2.54422,-3.71368,-2.54422
-2.55932,-3.7248,-2.55932
-2.56687,-3.73592,-2.56687
-2.57442,-3.74703,-2.57442
-2.58952,-3.76927,-2.58952
-2.58952,-3.79151,-2.58952
-2.58952,-3.81375,-2.58952
-2.58952,-3.83598,-2.58952
-2.59707,-3.86934,-2.59707
-2.61216,-3.9027,-2.61216
-2.62726,-3.92494,-2.62726
-2.64991,-3.94717,-2.64991
-2.68011,-3.95829,-2.68011
-2.71786,-3.96941,-2.71786
-2.74806,-3.98053,-2.74806
-2.78581,-3.98053,-2.78581
-2.82355,-3.98053,-2.82355
-2.85375,-3.96941,-2.85375
-2.88395,-3.94717,-2.88395
-2.9066,-3.92493,-2.9066
-2.91415,-3.9027,-2.91415
-2.9217,-3.86934,-2.9217
-2.92925,-3.8471,-2.92925
-2.92925,-3.81375,-2.92925
-2.92925,-3.78039,-2.92925
-2.92925,-3.74703,-2.92925
-2.92925,-3.71368,-2.92925
-2.9217,-3.68032,-2.9217
-2.9217,-3.65808,-2.9217
-2.9217,-3.62473,-2.9217
-2.91415,-3.60249,-2.91415
-2.89905,-3.56913,-2.89905
-2.8915,-3.5469,-2.8915
-2.8764,-3.52466,-2.8764
-2.85375,-3.51354,-2.85375
-2.8311,-3.50242,-2.8311
-2.8009,-3.4913,-2.8009
-2.77071,-3.4913,-2.77071
-2.74051,-3.4913,-2.74051
-2.71031,-3.50242,-2.71031
-2.68766,-3.50242,-2.68766
-2.66501,-3.51354,-2.66501
-2.63481,-3.52466,-2.63481
-2.61216,-3.53578,-2.61216
-2.58197,-3.5469,-2.58197
-2.55932,-3.56913,-2.55932
-2.53667,-3.59137,-2.53667
-2.51402,-3.61361,-2.51402
-2.49137,-3.63585,-2.49137
-2.47627,-3.6692,-2.47627
-2.46872,-3.70256,-2.46872
-2.45362,-3.73592,-2.45362
-2.45362,-3.76927,-2.45362
-2.44607,-3.79151,-2.44607
-2.43852,-3.81375,-2.43852
-2.43097,-3.81375,-2.43097
-2.42342,-3.80263,-2.42342
-2.40833,-3.79151,-2.40833
-2.40078,-3.78039,-2.40078
-2.39323,-3.75815,-2.39323
-2.39323,-3.7248,-2.39323
-2.39323,-3.70256,-2.39323
-2.39323,-3.68032,-2.39323
-2.40078,-3.6692,-2.40078
-2.41587,-3.65808,-2.41587
-2.42342,-3.64697,-2.42342
-2.43852,-3.65808,-2.43852
-2.45362,-3.6692,-2.45362
-2.46872,-3.68032,-2.46872
-2.48382,-3.69144,-2.48382
-2.49892,-3.71368,-2.49892
-2.49892,-3.7248,-2.49892
-2.49892,-3.74703,-2.49892
-2.48382,-3.75815,-2.48382
-2.46117,-3.76927,-2.46117
-2.44607,-3.76927,-2.44607
-2.42342,-3.76927,-2.42342
-2.40078,-3.75815,-2.40078
-2.38568,-3.74703,-2.38568
-2.37058,-3.73592,-2.37058
-2.37058,-3.71368,-2.37058
-2.37058,-3.70256,-2.37058
-2.38568,-3.68032,-2.38568
-2.40078,-3.6692,-2.40078
-2.41587,-3.6692,-2.41587
-2.43852,-3.6692,-2.43852
-2.46117,-3.6692,-2.46117
-2.47627,-3.69144,-2.47627
-2.49892,-3.70256,-2.49892
-2.50647,-3.71368,-2.50647
-2.52157,-3.73592,-2.52157
-2.51402,-3.74703,-2.51402
-2.51402,-3.75815,-2.51402
-2.49892,-3.76927,-2.49892
-2.47627,-3.78039,-2.47627
-2.45362,-3.78039,-2.45362
-2.43852,-3.76927,-2.43852
-2.41587,-3.75815,-2.41587
-2.40078,-3.74703,-2.40078
-2.39323,-3.7248,-2.39323
-2.38568,-3.70256,-2.38568
-2.39323,-3.6692,-2.39323
-2.40078,-3.65808,-2.40078
-2.42342,-3.64697,-2.42342
-2.44607,-3.63585,-2.44607
-2.46872,-3.64697,-2.46872
-2.49137,-3.64697,-2.49137
-2.51402,-3.65808,-2.51402
-2.53667,-3.6692,-2.53667
-2.54422,-3.68032,-2.54422
-2.55177,-3.69144,-2.55177
-2.54422,-3.71368,-2.54422
-2.53667,-3.7248,-2.53667
-2.52912,-3.73592,-2.52912
-2.50647,-3.73592,-2.50647
-2.48382,-3.74703,-2.48382
-2.46117,-3.74703,-2.46117
-2.43852,-3.73592,-2.43852
-2.40833,-3.73592,-2.40833
-2.37813,-3.7248,-2.37813
-2.35548,-3.70256,-2.35548
-2.34038,-3.69144,-2.34038
-2.34038,-3.6692,-2.34038
