xte,waypoint_idx
0.201708,3
0.18874,4
0.177852,4
0.16604,4
0.157322,5
0.150737,5
0.148206,6
0.149574,6
0.151038,7
0.149726,7
0.148055,8
0.143964,8
0.139981,9
0.136891,9
0.135636,10
0.134353,10
0.134256,11
0.133176,11
0.129028,11
0.126217,12
0.126179,12
0.124005,13
0.122051,13
0.123264,14
0.124205,14
0.124002,14
0.123132,15
0.124372,15
0.126248,16
0.128177,16
0.129571,16
0.133931,17
0.137695,17
0.137199,18
0.138984,18
0.137742,19
0.138275,19
0.1429,19
0.145151,20
0.149298,20
0.154279,21
0.159915,21
0.161058,22
0.165826,22
0.164302,23
0.166181,23
0.161086,24
0.159886,24
0.160067,25
0.163508,25
0.164384,26
0.167526,26
0.17068,26
0.173413,27
0.173785,27
0.17478,28
0.173615,28
0.173647,28
0.175664,29
0.175708,29
0.172403,30
0.169183,30
0.165448,31
0.167303,31
0.171307,32
0.176985,32
0.179257,32
0.182422,33
0.182202,33
0.181062,34
0.178021,34
0.176041,35
0.17412,35
0.17438,36
0.173744,36
0.17365,37
0.171675,37
0.168354,37
0.164708,38
0.164969,38
0.161337,39
0.163144,39
0.162774,40
0.163785,40
0.164113,41
0.168821,41
0.167225,41
0.163844,42
0.163893,42
0.161041,43
0.15853,43
0.159445,44
0.157979,44
0.159101,44
0.154316,45
0.156351,45
0.155858,46
0.152789,46
0.148689,47
0.148892,47
0.14662,47
0.142681,48
0.13861,48
0.136364,49
0.121512,4
0.123199,4
0.124493,5
0.1222,5
0.115369,6
0.109623,6
0.107408,7
0.108107,7
0.109061,7
0.108869,8
0.108283,8
0.110284,9
0.111288,9
0.11223,9
0.115404,10
0.118748,10
0.120903,11
0.121586,11
0.123463,12
0.124359,12
0.124321,12
0.123812,13
0.123216,13
0.123264,14
0.122208,14
0.12251,14
0.124187,15
0.127024,15
0.127293,15
0.126191,16
0.128759,16
0.130209,17
0.128604,17
0.124784,17
0.12214,18
0.124274,18
0.12506,19
0.123476,19
0.120211,19
0.117672,20
0.1154,20
0.114242,21
0.115007,21
0.115171,21
0.111025,22
0.107329,22
0.103083,23
0.10221,23
0.100317,24
0.100061,24
0.100737,24
0.100721,25
0.100101,25
0.101043,26
0.102986,26
0.10835,27
0.109254,27
0.11206,28
0.109956,28
0.104807,29
0.103405,29
0.101651,30
0.101766,30
0.101552,31
0.0996062,31
0.0998023,31
0.0956914,32
0.0936392,32
0.0913863,33
0.0923284,33
0.0914821,34
0.0920219,34
0.0911122,35
0.0940908,35
0.0940083,36
0.0907976,36
0.0904985,37
0.0887544,37
0.086705,38
0.0861181,38
0.0831085,39
0.0821607,39
0.0770568,40
0.0760402,40
0.0745448,41
0.0775329,41
0.0734526,42
0.0741695,42
0.0704596,43
0.0712422,43
0.0733047,44
0.0790721,44
0.0794788,44
0.0826916,45
0.0842457,45
0.084566,46
0.090278,46
0.100296,47
0.102268,47
0.106945,47
0.10312,48
0.101461,48
0.10576,49
0.099248,4
0.0995032,4
0.104386,4
0.105363,5
0.106356,5
0.110672,6
0.109766,6
0.109806,6
0.108342,7
0.10948,7
0.105405,8
0.0995404,8
0.0934461,8
0.0838393,9
0.078894,9
0.0716765,10
0.0686814,10
0.0651674,10
0.0662822,11
0.0680308,11
0.0710759,12
0.0713175,12
0.0723122,13
0.0710884,13
0.0742547,14
0.0735218,14
0.0750827,15
0.0750204,15
0.0770665,16
0.0801647,16
0.0830556,17
0.0819865,17
0.081486,17
0.0824531,18
0.0853299,18
0.0845401,19
0.0875578,19
0.0927775,20
0.0936505,20
0.103728,21
0.107342,21
0.11376,21
0.115375,22
0.115666,22
0.116846,23
0.115114,23
0.113441,23
0.108457,24
0.107793,24
0.105215,25
0.105189,25
0.109237,26
0.112979,26
0.115197,26
0.114357,27
0.113953,27
0.108284,28
0.102144,28
0.102514,28
0.100246,29
0.0989736,29
0.0978815,30
0.0968692,30
0.0991898,30
0.0988587,31
0.098049,31
0.0951416,32
0.0940026,32
0.0931534,32
0.0944293,33
0.0966583,33
0.100382,34
0.0981075,34
0.0981896,34
0.0946594,35
0.0936748,35
0.0902882,36
0.085612,36
0.0812099,37
0.0781739,37
0.071152,38
0.0652039,38
0.0641584,39
0.0616025,39
0.0636859,39
0.0641932,40
0.0665412,40
0.0681716,41
0.069781,41
0.067935,42
0.0672222,42
0.0669806,43
0.066413,43
0.0661958,44
0.0653598,44
0.067511,45
0.0661039,45
0.0655426,46
0.0655513,46
0.06708,46
0.0677529,47
0.0644181,47
0.0630309,48
0.0637636,48
0.0693725,49
