Path centered at: -2.57362, -3.86106
Layer 0 radius: 0.147891
Layer 1 radius: 0.348327
Layer 2 radius: 0.441983
Layer 3 radius: 0.473598
Layer 4 radius: 0.499411
Layer 5 radius: 0.533134
Layer 6 radius: 0.56108
Layer 7 radius: 0.588967
0 [-2.42573, -3.86106, 3.14663]
1 [-2.43297, -3.81536, 3.14663]
2 [-2.45397, -3.77413, 3.14663]
3 [-2.48669, -3.74141, 3.14663]
4 [-2.52792, -3.7204, 3.14663]
5 [-2.57362, -3.71317, 3.14663]
6 [-2.61932, -3.7204, 3.14663]
7 [-2.66055, -3.74141, 3.14663]
8 [-2.69327, -3.77413, 3.14663]
9 [-2.71427, -3.81536, 3.14663]
10 [-2.72151, -3.86106, 3.14663]
11 [-2.71427, -3.90676, 3.14663]
12 [-2.69327, -3.94799, 3.14663]
13 [-2.66055, -3.9807, 3.14663]
14 [-2.61932, -4.00171, 3.14663]
15 [-2.57362, -4.00895, 3.14663]
16 [-2.52792, -4.00171, 3.14663]
17 [-2.48669, -3.9807, 3.14663]
18 [-2.45397, -3.94799, 3.14663]
19 [-2.43297, -3.90676, 3.14663]
20 [-2.42573, -3.86106, 3.14663]
0 [-2.22529, -3.86106, 3.24663]
1 [-2.24234, -3.75342, 3.24663]
2 [-2.29182, -3.65632, 3.24663]
3 [-2.36888, -3.57925, 3.24663]
4 [-2.46598, -3.52978, 3.24663]
5 [-2.57362, -3.51273, 3.24663]
6 [-2.68126, -3.52978, 3.24663]
7 [-2.77836, -3.57925, 3.24663]
8 [-2.85542, -3.65632, 3.24663]
9 [-2.9049, -3.75342, 3.24663]
10 [-2.92195, -3.86106, 3.24663]
11 [-2.9049, -3.9687, 3.24663]
12 [-2.85542, -4.0658, 3.24663]
13 [-2.77836, -4.14286, 3.24663]
14 [-2.68126, -4.19234, 3.24663]
15 [-2.57362, -4.20938, 3.24663]
16 [-2.46598, -4.19234, 3.24663]
17 [-2.36888, -4.14286, 3.24663]
18 [-2.29182, -4.0658, 3.24663]
19 [-2.24234, -3.9687, 3.24663]
20 [-2.22529, -3.86106, 3.24663]
0 [-2.13164, -3.86106, 3.34663]
1 [-2.15327, -3.72448, 3.34663]
2 [-2.21605, -3.60127, 3.34663]
3 [-2.31383, -3.50349, 3.34663]
4 [-2.43704, -3.44071, 3.34663]
5 [-2.57362, -3.41907, 3.34663]
6 [-2.7102, -3.44071, 3.34663]
7 [-2.83341, -3.50349, 3.34663]
8 [-2.93119, -3.60127, 3.34663]
9 [-2.99397, -3.72448, 3.34663]
10 [-3.0156, -3.86106, 3.34663]
11 [-2.99397, -3.99764, 3.34663]
12 [-2.93119, -4.12085, 3.34663]
13 [-2.83341, -4.21863, 3.34663]
14 [-2.7102, -4.28141, 3.34663]
15 [-2.57362, -4.30304, 3.34663]
16 [-2.43704, -4.28141, 3.34663]
17 [-2.31383, -4.21863, 3.34663]
18 [-2.21605, -4.12085, 3.34663]
19 [-2.15327, -3.99764, 3.34663]
20 [-2.13164, -3.86106, 3.34663]
0 [-2.10002, -3.86106, 3.44663]
1 [-2.1232, -3.71471, 3.44663]
2 [-2.19047, -3.58268, 3.44663]
3 [-2.29525, -3.47791, 3.44663]
4 [-2.42727, -3.41064, 3.44663]
5 [-2.57362, -3.38746, 3.44663]
6 [-2.71997, -3.41064, 3.44663]
7 [-2.85199, -3.47791, 3.44663]
8 [-2.95677, -3.58268, 3.44663]
9 [-3.02404, -3.71471, 3.44663]
10 [-3.04722, -3.86106, 3.44663]
11 [-3.02404, -4.00741, 3.44663]
12 [-2.95677, -4.13943, 3.44663]
13 [-2.85199, -4.24421, 3.44663]
14 [-2.71997, -4.31148, 3.44663]
15 [-2.57362, -4.33466, 3.44663]
16 [-2.42727, -4.31148, 3.44663]
17 [-2.29525, -4.24421, 3.44663]
18 [-2.19047, -4.13943, 3.44663]
19 [-2.1232, -4.00741, 3.44663]
20 [-2.10002, -3.86106, 3.44663]
0 [-2.07421, -3.86106, 3.54663]
1 [-2.09865, -3.70673, 3.54663]
2 [-2.16959, -3.56751, 3.54663]
3 [-2.28007, -3.45703, 3.54663]
4 [-2.41929, -3.38609, 3.54663]
5 [-2.57362, -3.36165, 3.54663]
6 [-2.72795, -3.38609, 3.54663]
7 [-2.86717, -3.45703, 3.54663]
8 [-2.97765, -3.56751, 3.54663]
9 [-3.04859, -3.70673, 3.54663]
10 [-3.07303, -3.86106, 3.54663]
11 [-3.04859, -4.01538, 3.54663]
12 [-2.97765, -4.1546, 3.54663]
13 [-2.86717, -4.26509, 3.54663]
14 [-2.72795, -4.33603, 3.54663]
15 [-2.57362, -4.36047, 3.54663]
16 [-2.41929, -4.33603, 3.54663]
17 [-2.28007, -4.26509, 3.54663]
18 [-2.16959, -4.1546, 3.54663]
19 [-2.09865, -4.01538, 3.54663]
20 [-2.07421, -3.86106, 3.54663]
0 [-2.04049, -3.86106, 3.64663]
1 [-2.06658, -3.69631, 3.64663]
2 [-2.14231, -3.54769, 3.64663]
3 [-2.26025, -3.42974, 3.64663]
4 [-2.40887, -3.35402, 3.64663]
5 [-2.57362, -3.32792, 3.64663]
6 [-2.73837, -3.35402, 3.64663]
7 [-2.88699, -3.42974, 3.64663]
8 [-3.00494, -3.54769, 3.64663]
9 [-3.08066, -3.69631, 3.64663]
10 [-3.10675, -3.86106, 3.64663]
11 [-3.08066, -4.0258, 3.64663]
12 [-3.00494, -4.17443, 3.64663]
13 [-2.88699, -4.29237, 3.64663]
14 [-2.73837, -4.3681, 3.64663]
15 [-2.57362, -4.39419, 3.64663]
16 [-2.40887, -4.3681, 3.64663]
17 [-2.26025, -4.29237, 3.64663]
18 [-2.14231, -4.17443, 3.64663]
19 [-2.06658, -4.0258, 3.64663]
20 [-2.04049, -3.86106, 3.64663]
0 [-2.01254, -3.86106, 3.74663]
1 [-2.04, -3.68767, 3.74663]
2 [-2.1197, -3.53126, 3.74663]
3 [-2.24383, -3.40713, 3.74663]
4 [-2.40024, -3.32744, 3.74663]
5 [-2.57362, -3.29998, 3.74663]
6 [-2.747, -3.32744, 3.74663]
7 [-2.90341, -3.40713, 3.74663]
8 [-3.02754, -3.53126, 3.74663]
9 [-3.10724, -3.68767, 3.74663]
10 [-3.1347, -3.86106, 3.74663]
11 [-3.10724, -4.03444, 3.74663]
12 [-3.02754, -4.19085, 3.74663]
13 [-2.90341, -4.31498, 3.74663]
14 [-2.747, -4.39468, 3.74663]
15 [-2.57362, -4.42214, 3.74663]
16 [-2.40024, -4.39468, 3.74663]
17 [-2.24383, -4.31498, 3.74663]
18 [-2.1197, -4.19085, 3.74663]
19 [-2.04, -4.03444, 3.74663]
20 [-2.01254, -3.86106, 3.74663]
0 [-1.98465, -3.86106, 3.84663]
1 [-2.01348, -3.67906, 3.84663]
